store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
GULF COAST - FL,422,9903 GULF COAST MAIN ,,ST. FORT MYERS ,FL,33913,United States,2393379316,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
ELLENTON - FL,521,5119 FACTORY SHOPS BLVD ,,ELLENTON ,FL,34222,United States,9417229380,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 10:00 AM - 07:00 PM,,0
COASTLAND - FL,448,1752 TAMIAMI TRAIL NORTH ,,NAPLES ,FL,34102,United States,2394350145,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
INDIAN RIVER - FL,147,6200 20TH STREET ,,VERO BEACH ,FL,32966,United States,7725630518,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
TYRONE - FL,74,6901 22ND AVENUE ,,ST PETERSBURG ,FL,33710,United States,7273813229,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
PALM BEACH OUTLETS - FL,707,1721 Beach Lakes Blvd. ,,West Palm Beach ,FL,33401,United States,5616160071,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
DESOTO - FL,202,303 U.S. HWY 301 BLVD ,,WEST BRADENTON ,FL,34205,United States,9417509911,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
EAGLE RIDGE - FL,433,200 EAGLE RIDGE DR ,,LAKE WALES ,FL,33853,United States,8636783686,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
MELBOURNE - FL,68,W 1700 NEW HAVEN AVENUE ,,MELBOURNE ,FL,32904,United States,3217260098,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
BRANDON - FL,241,459 BRANDON TOWN CENTER MALL ,,BRANDON ,FL,33511,United States,8136556752,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 06:00 PM,,0
WESTSHORE - FL,178,253 WESTSHORE PLAZA ,,TAMPA ,FL,33609,United States,8132829455,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
