store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Roussel Toyota,65022,323 King George Hwy,,Miramichi,NB,E1V 1L2,Canada,{u'$': u'5066221867'},46.987639,-65.577550,Monday 8:00am - 6:00pm; ,,0
Prince George Toyota,01142,2772 Recplace Drive,,Prince George,BC,V2N 0B2,Canada,{u'$': u'2505647205'},53.893711,-122.769010,Monday 8:30am - 5:00pm; ,,0
Fredericton Toyota,65020,35 Alison Blvd Highway #7 and Kimble Drive,,Fredericton,NB,E3B 4Z9,Canada,{u'$': u'5064522200'},45.922258,-66.634812,Monday 8:30am - 8:00pm; Friday 8:30am - 6:00pm; Saturday 8:30am - 4:00pm; ,,0
Saint John Toyota,65021,410 Rothesay Avenue,,Saint John,NB,E2J 2C4,Canada,{u'$': u'5066337070'},45.303139,-66.034170,Monday 7:30am - 5:30pm; Saturday 8:30am - 12:00pm; ,,0
Déry Toyota,53070,250 RUE MOREAU,,St-Jean,QC,J2W 0E9,Canada,{u'$': u'4503599000'},45.334459,-73.290243,Monday 7:00am - 5:00pm; Friday 7:00am - 3:00pm; ,,0
Nelson Toyota,01146,2324 Ymir Rd,,Nelson,BC,V1L 5R3,Canada,{u'$': u'2503522235'},49.474633,-117.287575,Monday 8:00am - 5:00pm; ,,0
Bathurst Toyota,65024,1060 St. Anne Street,,Bathurst,NB,E2A 6X2,Canada,{u'$': u'5065488988'},47.627866,-65.695089,Monday 8:00am - 5:00pm; Thursday 8:00am - 8:00pm; Friday 8:00am - 6:00pm; Saturday 8:00am - 12:00pm; ,,0
Toyotatown,42076,1065 Wharncliffe Rd S,,London,ON,N6L 1J9,Canada,{u'$': u'5196801800'},42.936768,-81.262521,Monday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; ,,0
Jackson's Toyota,42073,181 Mapleview Dr. W.,,Barrie,ON,L4N 9E8,Canada,{u'$': u'7057260288'},44.330783,-79.700934,Monday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; Saturday 9:00am - 5:00pm; ,,0
Tony Graham Toyota,42070,1855 Merivale Rd,,Ottawa,ON,K2G 1E3,Canada,{u'$': u'6132251212'},45.336121,-75.723406,Monday 7:00am - 2:00am; Friday 7:00am - 6:00pm; Saturday 8:30am - 4:00pm; ,,0
