store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Discount Wheel & Tire,775591,4810 W. 7th St,,Texarkana,TX,75501-6264,United States,9038320408,33.418349,-94.10351,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Southern Tire Mart,290840,5302 W. 7th St.,,Texarkana,TX,75501,United States,9038325790,33.4167313,-94.111066,Mon:07:30 AM - 05:00 PM; Tue:07:30 AM - 05:00 PM; Wed:07:30 AM - 05:00 PM; Thu:07:30 AM - 05:00 PM; Fri:07:30 AM - 05:00 PM; Sat:08:00 AM - 12:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,24422,580 VILLAGE SHOPPING CTR # 140,,WESTMINSTER,MD,21157-6126,United States,4108761949,39.564427,-76.976727,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,321259,760 IH-30 EAST,,ROCKWALL,TX,75087-5519,United States,9727719571,32.899498,-96.462834,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 07:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,26263,1601 MATTHEWS MINT HILL RD,,MATTHEWS,NC,28105-4652,United States,7048452557,35.11936,-80.69657,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
WHEEL WORKS 8203,117331,1410 CONCORD AVE,,CONCORD,CA,94520-4974,United States,9256801900,37.979514,-122.046447,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
WHEEL WORKS 8226,241422,7100 REGIONAL ST,,DUBLIN,CA,94568-2324,United States,9258283950,37.702872,-121.933666,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
GCR TIRES & SERVICE 607,268024,6010 N STATE LINE AVE,,TEXARKANA,AR,71854-8104,United States,8707722662,33.479191,-94.043124,Mon:07:00 AM - 05:00 PM; Tue:07:00 AM - 05:00 PM; Wed:07:00 AM - 05:00 PM; Thu:07:00 AM - 05:00 PM; Fri:07:00 AM - 05:00 PM; Sat:07:00 AM - 12:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Barnes Service Center,765622,500 Lucabaugh Mill Road,,Westminster,MD,21157,United States,4108487600,39.588094,-76.971833,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,320368,2961 W FM 544,,WYLIE,TX,75098-7025,United States,9729418370,33.011312,-96.58757,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 07:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
