store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Hendrick Chrysler Dodge Jeep Ram of Concord,,7630 Hendrick Auto Plaza NW,,Concord,NC,28027,United States,,,,,,0
Hendrick Chrysler Jeep,,543 N McPherson Church Rd,,Fayetteville,NC,28303,United States,,,,,,0
Rick Hendrick Chrysler Dodge Jeep RAM Duluth,,2473 Pleasant Hill Rd,,Duluth,GA,30096,United States,,,,,,0
Rick Hendrick Chrysler Dodge Jeep RAM Duluth,,6000 Monroe Rd,,CHARLOTTE,NC,28212,United States,,,,,,0
Rick Hendrick Dodge Chrysler Jeep RAM,,1468 Savannah Highway,,Charleston,SC,29407,United States,,,,,,0
Rick Hendrick Jeep Chrysler Dodge RAM,,8333 Rivers Avenue,,North Charleston,SC,29406,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Hendrick Kia Charlotte,,5141 East Independence Blvd,,Charlotte,NC,28212,United States,,,,,,0
Hendrick Kia of Cary,,90 MacKenan Dr.,,Cary,NC,27511,United States,,,,,,0
Hendrick Kia of Concord,,7550 Hendrick Auto Plaza NW,,Concord,NC,28027,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Land Rover Charlotte,,6940 E. Independence Blvd.,,Charlotte,NC,28227,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Hendrick Lexus,,6025 E Independence Blvd,,Charlotte,NC,28212,United States,,,,,,0
Hendrick Lexus Charleston,,2424 Savannah Highway,,Charleston,SC,29414,United States,,,,,,0
Hendrick Lexus Kansas City,,6395 W. Frontage Road,,Merriam,KS,66203,United States,,,,,,0
Hendrick Lexus Kansas City North,,9300 NW Prairie View Road,,Kansas City,MO,64153,United States,,,,,,0
Hendrick Lexus Northlake,,10830 Northlake Auto Plaza Blvd,,Charlotte,NC,28269,United States,,,,,,0
Lexus of Pleasanton,,4345 Rosewood Drive,,Pleasanton,CA,94588,United States,,,,,,0
East Bay MINI,,4340 Rosewood Drive,,Pleasanton,CA,94588,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Hendrick MINI,,6800 E Independence Blvd,,Charlotte,NC,28227,United States,,,,,,0
MINI of Charleston,,1518 Savannah Highway,,Charleston,SC,29407,United States,,,,,,0
Mall of Georgia MINI,,3751 Buford Drive,,Buford,GA,30519,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Mall of Georgia Mazda,,3546 Highway 20,,Buford,GA,30519,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Hendrick Motors of Charlotte,,5201 E. Independence Blvd,,Charlotte,NC,28212,United States,,,,,,0
Mercedes-Benz  of Northlake,,10725 Old Statesville Rd,,Charlotte,NC,28269,United States,,,,,,0
Mercedes-Benz of Durham,,110 Kentington Dr.,,Durham,NC,27713,United States,,,,,,0
