store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Schukei Volkswagen,402334,721 South Monroe,,Mason City,IA,50401,USA,8557410933,43.1443,-93.2084,Fri:07:30-17:00; Mon:07:30-17:00; Thu:07:30-17:00; Tue:07:30-17:00; Wed:07:30-17:00; Sun:closed; Sat:closed; ,,0
Colonial Volkswagen,401017,89 Turnpike Rd,,Westborough,MA,01581,USA,8555931762,42.2881,-71.5926,Fri:07:30-17:30; Mon:07:30-17:30; Sat:07:30-16:00; Thu:07:30-17:30; Tue:07:30-17:30; Wed:07:30-17:30; Sun:closed; ,,0
Serra Volkswagen of Traverse City,402807,1301 S. Garfield Avenue,,Traverse City,MI,49686,USA,8663086281,44.7439,-85.5944,Fri:09:00-17:00; Mon:09:00-19:00; Sat:09:00-16:00; Thu:09:00-19:00; Tue:09:00-17:00; Wed:09:00-17:00; Sun:closed; ,,0
Paul Clark Volkswagen,401066,122 Liberty Street,,Brockton,MA,02301,USA,8663077994,42.0560,-71.0613,Fri:09:00-18:00; Mon:09:00-20:00; Sat:09:00-17:00; Sun:11:00-16:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; ,,0
Broadway Imports,402641,2700 S Ashland Ave,,Green Bay,WI,54304,USA,8777712055,44.4741,-88.0653,Fri:09:00-18:00; Mon:09:00-20:00; Sat:09:00-17:00; Thu:09:00-20:00; Tue:09:00-18:00; Wed:09:00-20:00; Sun:closed; ,,0
"Tracy Volkswagen, Inc.",401025,686 Iyannough Rd,,Hyannis,MA,02601,USA,5087753049,41.6679,-70.2924,Fri:07:30-17:30; Mon:07:30-17:30; Sat:08:00-12:00; Thu:07:30-17:30; Tue:07:30-17:30; Wed:07:30-17:30; Sun:closed; ,,0
Bob Burg Volkswagen,402647,700 Monitor Street,,La Crosse,WI,54603,USA,6087828808,43.8280,-91.2455,Fri:08:30-17:30; Mon:08:30-20:00; Sat:08:30-16:30; Thu:08:30-20:00; Tue:08:30-17:30; Wed:08:30-17:30; Sun:closed; ,,0
Volkswagen Gallery,401035,1280 Providence Hwy Route 1,,Norwood,MA,02062,USA,7815519397,42.1694,-71.1965,Fri:08:00-18:00; Mon:08:00-20:00; Sat:08:00-18:00; Sun:12:00-17:00; Thu:08:00-20:00; Tue:08:00-20:00; Wed:08:00-20:00; ,,0
F.X. Caprara Volkswagen,408142,18493 Us Route 11,,Watertown,NY,13601,USA,8665788233,43.9348,-75.9329,Fri:08:00-18:00; Mon:08:00-19:00; Sat:08:00-17:00; Thu:08:00-19:00; Tue:08:00-19:00; Wed:08:00-19:00; Sun:closed; ,,0
"Wellesley Volkswagen, Incorporated",401052,231 Linden St,,Wellesley,MA,02482,USA,8556027323,42.3008,-71.2902,Fri:07:30-17:00; Mon:07:30-17:00; Sat:07:30-16:00; Thu:07:30-17:00; Tue:07:30-17:00; Wed:07:30-17:00; Sun:closed; ,,0
"Garvey Volkswagen, Inc.",408313,483 Quaker Rd,,Queensbury,NY,12804,USA,5182033822,43.3293,-73.6298,Fri:09:00-18:00; Mon:09:00-19:00; Sat:09:00-17:00; Thu:09:00-19:00; Tue:09:00-19:00; Wed:09:00-19:00; Sun:closed; ,,0
Quirk Volkswagen,401079,20 Granite St,,Braintree,MA,02184,USA,7819171598,42.2272,-71.0315,Fri:09:00-17:00; Mon:09:00-17:00; Sat:09:00-18:00; Sun:10:00-17:00; Thu:09:00-17:00; Tue:09:00-17:00; Wed:09:00-17:00; ,,0
