store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Richmond, BC",1557,4651 No.3 Road ,,Richmond,BC,V6X 2C4,Canada,,49.17935,-123.138,,,0
Real Canadian Superstore - Metrotown,1518,#1105 Eaton Ctr. 4700 Kingsway ,,Burnaby,BC,V5H 4M1,Canada,,49.2269,-122.9998,,,0
Calgary Southport,1574,10505 Southport Road SW ,,Calgary,AB,T2W 3N2,Canada,,50.9612,-114.0741,,,0
"Heritage, Edmonton",1537,11835 26 Ave SW ,,Edmonton,AB,T6W 0C8,Canada,,53.409419,-113.536854,,,0
"Seymour, Vancouver, BC",1560,333 Seymour Blvd. ,,North Vancouver,BC,V7J 2J4,Canada,,49.31163,-123.0241,,,0
"Mayor MaGrath Drive, Lethbridge, AB",1541,3515 Mayor MaGrath Drive S. ,,Lethbridge,AB,T1K 8A8,Canada,,49.65785,-112.7909,,,0
"Calgary Trail, Edmonton, AB",1570,4821 Calgary Trail N.W. ,,Edmonton,AB,T6H 5W8,Canada,,53.48685,-113.4934,,,0
"Peterborough, ON",2831,769 Borden Avenue ,,Peterborough,ON,K9J 0B6,Canada,,44.283823,-78.331434,,,0
"Sargent, Winnipeg, MB",1511,1385 Sargent Avenue ,,Winnipeg,MB,R3E 3P8,Canada,,49.89888,-97.19854,,,0
"Whitehorse, YT",1530,2270-2nd Avenue ,,Whitehorse,YT,Y1A 1C8,Canada,,60.72832,-135.064,,,0
"St. Albert, AB",1568,#10-101 St. Alberta Trail ,,St. Albert,AB,T8N 6L5,Canada,,53.62092,-113.6051,,,0
"Portage, Winnipeg, MB",1508,3193 Portage Avenue ,,Winnipeg,MB,R3K 0W4,Canada,,49.88179,-97.28736,,,0
"Pitt Meadows, BC",1555,19800 Lougheed Hwy Suite 201 ,,Pitt Meadows,BC,V3Y 2W1,Canada,,49.22164,-122.6702,,,0
"Penticton, BC",1532,100-2210 Main Street ,,Penticton,BC,V2A 5H8,Canada,,49.476842,-119.58187,,,0
"McKenzie, Calgary, AB",1546,#100  4700 130th Avenue SE ,,Calgary,AB,T2Z 4E7,Canada,,50.93385,-113.9679,,,0
"Kingsway Avenue, Edmonton, AB",1502,11541 Kingsway Avenue ,,Edmonton,AB,T5G 3A6,Canada,,53.56552,-113.52301,,,0
